ped_wait_times,veh_wait_times
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,26.0
0.0,0.0
0.0,23.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,22.0
0.0,0.0
0.0,16.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,81.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,78.0
0.0,51.0
0.0,0.0
0.0,46.0
0.0,0.0
0.0,41.0
0.0,77.0
0.0,71.0
0.0,46.0
0.0,0.0
0.0,43.0
0.0,0.0
0.0,42.0
0.0,136.0
0.0,0.0
0.0,30.0
0.0,0.0
0.0,11.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,133.0
0.0,106.0
0.0,101.0
0.0,96.0
0.0,132.0
0.0,126.0
0.0,101.0
0.0,98.0
0.0,97.0
0.0,191.0
0.0,85.0
0.0,66.0
0.0,54.0
0.0,0.0
0.0,43.0
0.0,0.0
0.0,29.0
0.0,0.0
0.0,15.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,188.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,161.0
0.0,156.0
0.0,151.0
0.0,187.0
0.0,181.0
0.0,156.0
0.0,153.0
0.0,152.0
0.0,246.0
0.0,140.0
0.0,121.0
0.0,109.0
0.0,98.0
0.0,84.0
0.0,70.0
0.0,0.0
0.0,55.0
0.0,0.0
0.0,47.0
0.0,0.0
0.0,33.0
0.0,0.0
0.0,25.0
0.0,243.0
0.0,0.0
0.0,12.0
0.0,0.0
0.0,2.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,216.0
0.0,211.0
0.0,206.0
0.0,242.0
0.0,236.0
0.0,211.0
0.0,208.0
0.0,207.0
0.0,301.0
0.0,195.0
0.0,176.0
0.0,164.0
0.0,153.0
