episode,reward
0,-24747.008371
1,-9930.791728
2,-35862.280477
3,-10676.532368
4,-14888.959158
5,-18974.599156
6,-10555.70556
7,-32456.185262
8,-28915.6123
9,-17144.534633
10,-21156.885033
11,-25329.410849
12,-20512.529888
13,-12795.148135
14,-20667.036139
15,-12877.324546
16,-21870.964809
17,-16540.446827
18,-18030.5
19,-16619.358339
20,-14574.293859
21,-19856.197739
22,-51070.51698
23,-16656.892524
24,-55018.937401
25,-31007.685373
26,-13555.381835
27,-12490.685358
28,-45494.107244
29,-29463.513451
30,-38620.837873
31,-15682.910882
32,-16423.820706
33,-12071.283953
34,-25075.52685
35,-35805.283613
36,-14962.57174
37,-45065.805663
38,-12605.609619
39,-17673.536623
40,-32812.354573
41,-30047.851737
42,-32426.211906
43,-23451.038369
44,-14512.95585
45,-10795.303535
46,-40254.548351
47,-53075.583222
48,-12824.241751
49,-13800.00511
50,-25849.073514
51,-47338.148031
52,-18030.061704
53,-17033.208626
54,-20621.390586
55,-17822.744861
56,-17119.333962
57,-12971.92515
58,-68909.760675
59,-46461.443128
60,-18636.0
61,-56371.008218
62,-17467.326346
63,-29948.896574
64,-27656.24847
65,-22548.020221
66,-12075.00501
67,-55997.061799
68,-18040.373525
69,-29649.80199
70,-9211.835747
71,-32207.91679
72,-19666.078774
73,-24595.856164
74,-26069.654148
75,-20792.094872
76,-15187.640941
77,-20198.852011
78,-23426.87689
79,-12327.878413
80,-46607.439182
81,-29285.964969
82,-18354.712967
83,-37873.500684
84,-15793.912546
85,-10477.341052
86,-29248.923226
87,-40650.800626
88,-19155.818026
89,-28446.3537
90,-18838.566176
91,-27249.165573
92,-26347.271531
93,-13133.046767
94,-25414.405694
95,-45081.238938
96,-20727.153019
97,-11072.264235
98,-19929.345752
99,-66319.363733
100,-20168.694829
101,-41132.174507
102,-36634.544816
103,-26496.256741
104,-21746.955814
105,-15428.776634
106,-15877.832419
107,-13879.865581
108,-16303.759832
109,-44366.473917
110,-21506.276776
111,-35863.628914
112,-31583.277386
113,-32556.965027
114,-32599.762001
115,-15414.31265
116,-8454.161707
117,-22955.473986
118,-20546.0
119,-13429.429274
120,-14052.343868
121,-56896.84234
122,-54827.486184
123,-24111.647951
124,-12243.853474
125,-22012.545128
126,-37672.450647
127,-11255.759673
128,-10317.129965
129,-22971.901947
130,-23173.867959
131,-20437.529051
132,-20242.975173
133,-20666.355648
134,-25384.610715
135,-35603.699926
136,-13013.410398
137,-25600.074783
138,-24903.235252
139,-42119.060419
140,-11145.933843
141,-32556.232555
142,-32288.775701
143,-11420.477557
144,-30068.343808
145,-31050.915629
146,-24534.790857
147,-16765.346174
148,-33215.84638
149,-30042.917983
150,-18365.143803
151,-15581.133378
152,-11944.420633
153,-24492.828391
154,-31416.593087
155,-29887.168999
156,-18092.588306
157,-35705.849734
158,-19266.087912
159,-28128.607534
160,-49242.98194
161,-24654.919722
162,-15147.378023
163,-20870.59703
164,-10436.698731
165,-24131.672815
166,-42847.339973
167,-46917.831873
168,-11459.132679
169,-11301.994733
170,-36059.714302
171,-27887.584765
172,-10853.803041
173,-22317.167743
174,-54621.193208
175,-21980.458842
176,-48780.276203
177,-32043.52526
178,-45940.191347
179,-17536.76949
180,-36124.555534
181,-47401.646197
182,-41623.443407
183,-53174.319571
184,-14883.152564
185,-41974.436268
186,-12145.374265
187,-38338.133119
188,-27050.141333
189,-16556.524862
190,-30802.419988
191,-24431.337093
192,-22604.925703
193,-8574.595218
194,-19740.765662
195,-14077.899492
196,-34415.111143
197,-22941.62089
198,-15905.476954
199,-13019.790407
200,-20816.163325
201,-9203.619955
202,-28256.602503
203,-18869.275411
204,-47153.525461
205,-37208.92796
206,-37362.731693
207,-20041.00569
208,-49569.784025
209,-11402.070453
210,-26548.322624
211,-27237.760544
212,-33563.266572
213,-39761.199362
214,-18721.95339
215,-19838.460469
216,-24566.6681
217,-43836.664921
218,-7329.263883
219,-13506.997544
220,-15760.848025
221,-34557.781162
222,-34380.515148
223,-21759.806964
224,-9406.332932
225,-46798.377694
226,-18672.655913
227,-11562.478868
228,-18808.379101
229,-51100.229149
230,-30157.323692
231,-16191.841564
232,-17293.792018
233,-43904.542031
234,-14261.878722
235,-11932.820339
236,-47927.011214
237,-23313.345558
238,-15965.227097
239,-19165.012462
240,-15505.418901
241,-19994.639642
242,-18078.937583
243,-23928.676741
244,-31242.639711
245,-20069.0
246,-16953.817424
247,-14231.237379
248,-86076.333542
249,-32888.943891
250,-32118.746957
251,-18965.189805
252,-15929.826915
253,-91759.187603
254,-24091.131603
255,-17254.960143
256,-59274.914581
257,-20908.583224
258,-12187.60199
259,-48016.97824
260,-14936.476296
261,-38281.709079
262,-24315.302857
263,-16325.312486
264,-14886.638221
265,-9836.416964
266,-24709.941321
267,-20670.337896
268,-29851.734259
269,-12349.484997
270,-12174.025354
271,-15035.860692
272,-46931.286377
273,-10865.588604
274,-13968.443051
275,-35529.931457
276,-32326.352761
277,-104108.544004
278,-37548.917425
279,-20210.284498
280,-19560.593126
281,-11225.520251
282,-34865.348771
283,-23410.273797
284,-18583.52859
285,-42189.803554
286,-21799.634604
287,-47042.394781
288,-20860.539749
289,-10049.774489
290,-19395.070958
291,-17671.949665
