#{"t_start": 1746371573.4155529, "env_id": "None"}
r,l,t
-16858.916221,31,2.269014
-21582.870003,30,3.858774
-19085.159043,34,5.593352
-18530.402499,23,7.112439
-41470.917739,36,8.689726
-35779.894545,31,10.696517
-16084.335087,28,12.182384
-32792.932047,34,14.612775
-14016.103812,33,16.213364
-28543.74835,27,17.697459
-18835.665393,37,19.842056
-34328.525741,33,21.715431
-18196.816458,29,23.332971
-50068.810006,32,25.014407
-25101.670617,28,26.534331
-38077.175449,28,28.259581
-18658.610563,33,29.977225
-57684.113509,39,31.882978
-25278.31744,41,33.617168
-9919.154302,30,35.13005
-13731.506959,30,36.692064
-21221.243397,28,38.398549
-30747.200489,25,40.198997
-16171.442503,33,41.879736
-35022.699683,45,43.811492
-18343.307722,35,45.299443
-45188.517055,34,46.851471
-8850.063254,25,48.456034
-20571.954954,31,50.507633
-27403.128387,33,53.642397
-16903.928203,31,55.515405
-30399.151921,30,57.510548
-63362.053079,28,59.952074
-23565.780549,39,63.21091
-24541.541312,38,66.745396
-20302.123353,34,70.213032
-33500.753825,35,72.068676
-22481.471985,35,73.856405
-26528.099273,32,75.558286
-19908.393627,34,77.319149
-21322.844387,33,81.091308
-21594.638494,32,82.843203
-27656.497928,26,84.515114
-36604.166648,31,86.345916
-24398.841982,36,87.91262
-227241.685213,37,92.002087
-25098.194545,31,94.005679
-23774.516135,34,96.219129
-24506.331603,27,98.399913
-18361.478444,32,100.603728
-13871.39199,28,103.656751
-34779.411831,25,106.848886
-59624.144724,28,109.150392
-39680.087742,29,110.914695
-19248.751524,32,115.120101
-19046.861594,30,117.326622
-37414.062245,28,119.474118
-22187.062964,35,121.617607
-34816.424138,39,125.156846
-43037.731952,27,128.396183
-18152.808006,26,131.522275
-14863.401199,31,134.623584
-41953.778868,32,137.423203
-22233.254476,33,140.835531
-22724.662389,34,142.370653
-33332.908554,28,144.272186
-15766.71652,36,146.166487
-22961.974257,30,148.08954
-15841.685237,28,149.816245
-19573.237224,39,151.672943
-17963.20816,33,153.344725
-16670.544011,30,155.213488
-38149.708779,30,157.145916
-21268.297027,40,159.162304
-11377.346839,34,160.784167
-39562.018838,27,163.146356
-14231.826765,34,165.180032
-12194.237386,34,167.346982
-36457.885214,33,169.208088
-13790.078945,33,170.843222
-45367.282477,32,172.830202
-10534.036207,34,174.826883
-19336.172435,34,176.670518
-22550.504186,31,179.159122
-41223.353886,34,180.702324
-39565.764666,39,182.990075
-13301.114633,26,185.75284
-20597.862461,33,189.080429
-35018.544767,29,190.995867
-47722.58457,30,194.304089
-12305.456916,32,197.537832
-27040.59378,28,200.982721
-52200.156747,32,202.6271
-24643.538401,32,204.700038
-15279.155751,36,208.365848
-17744.203548,32,210.400829
-62530.677823,38,211.986091
-8447.71759,25,213.577971
-23202.744485,31,215.881628
-36588.704022,26,219.023667
-16467.819053,29,220.736759
-26762.51787,32,222.59716
-52749.167211,28,226.350768
-18369.247032,25,228.266445
-15018.637033,33,231.312478
-21134.312239,32,232.935679
-83158.139182,31,234.626845
-32975.526379,35,236.469874
-33474.749905,33,239.277767
-14928.500484,26,242.323473
-33712.330291,36,246.272129
-6406.222154,28,248.397743
-57022.536935,32,251.519245
-19957.760567,46,253.866683
-25862.25,46,256.336377
-28899.208786,26,258.22241
-59434.450631,34,260.266473
-31489.499131,31,262.124665
-57787.959404,36,264.152801
-24198.567815,24,267.622293
-36828.475624,37,270.098235
-16430.681935,43,271.980988
-13671.302956,36,273.574967
-13657.446766,35,275.294804
-41669.670576,27,277.29216
-18838.153069,29,279.012676
-13443.95,36,280.59695
-60887.05478,28,282.311137
-18643.905939,30,283.74386
-51172.967823,32,286.569012
-22624.526157,29,288.12435
-33762.355713,34,290.023626
-33592.167123,33,291.769843
-8016.906006,34,293.437376
-12042.322672,25,295.336854
-35414.423467,40,296.96227
-11821.817745,31,298.542486
-13986.702052,32,300.256692
-19704.203538,33,303.788902
-48853.441851,34,306.67969
-14895.65216,32,310.607555
-15803.467504,39,314.60531
-19189.273369,28,316.4817
-12466.437696,32,317.945927
-11335.831663,30,319.664286
-12816.634295,32,321.117403
-27429.492468,30,322.549953
-78972.622467,32,323.990727
-41497.59506,32,325.428594
-33932.814998,30,326.953291
-20138.11119,35,328.416264
-26149.477098,32,330.369963
-29957.765105,38,331.86695
-32900.234483,34,333.417935
-36471.35075,26,334.828983
