episode,reward
0,-59713.312529
1,-225972.4137
2,-207277.929018
3,-1178184.903433
4,-741591.017502
5,-1142220.548005
6,-368555.39951
7,-35390.75022
8,-413537.038041
9,-258972.434953
10,-923092.327755
11,-578199.231061
12,-394504.777473
13,-20563.803879
14,-15296.862452
15,-116153.039125
16,-13355.943419
17,-664874.344844
18,-113337.040866
19,-61173.317612
20,-661438.785395
21,-43241.932201
22,-1350609.1702
23,-18673.836806
24,-423157.208115
25,-107885.673463
26,-629603.799025
27,-73753.658583
28,-249481.929064
29,-718944.606907
30,-44239.648459
31,-364117.396041
32,-63002.864429
33,-528440.604777
34,-128770.326852
35,-304239.955334
36,-315214.575759
37,-150458.743402
38,-43711.598814
39,-437998.18931
40,-474171.711207
41,-196371.919679
42,-19516.689183
43,-28827.459119
44,-477058.449295
45,-102846.263881
46,-38100.655823
47,-14633.599789
48,-80545.610345
49,-526891.07297
50,-1229459.50638
51,-90291.906832
52,-11747.496541
53,-549308.573243
54,-966905.158793
55,-302880.322462
56,-26504.912853
57,-164767.800708
58,-13698.610708
59,-280254.498669
60,-677506.404423
61,-13091.730241
62,-60820.561179
63,-939203.299262
64,-1132423.30737
65,-77992.37332
66,-48544.867729
67,-561502.18254
68,-17761.243676
69,-11989.3037
70,-278166.828221
71,-185666.607703
72,-405860.022406
73,-39250.92313
74,-1039553.141372
75,-21230.105968
76,-694010.647501
77,-418544.930321
78,-54894.135594
79,-625164.33056
80,-167034.288361
81,-67267.165428
82,-115586.135729
83,-740618.246536
84,-9295.826084
85,-657593.382466
86,-51405.421043
87,-20793.96317
88,-511605.206188
89,-241366.699762
90,-18709.675137
91,-946121.20079
92,-1037311.719843
93,-84708.940293
94,-324264.154553
95,-230201.382729
96,-12675.767591
97,-326757.693942
98,-981801.369803
99,-18995.912596
100,-142093.232413
101,-214555.163503
102,-135035.963827
103,-29005.235903
104,-222471.303326
105,-317484.474619
106,-13819.51783
107,-1004893.773185
108,-143841.194567
109,-571824.080707
110,-169187.880655
111,-376212.709448
112,-108589.835886
113,-162875.129323
114,-12926.670236
115,-1124404.595152
116,-111822.573337
117,-351435.640434
118,-197801.85484
119,-58039.062633
120,-135879.431861
121,-919451.408431
122,-777563.675975
123,-519540.398775
124,-180661.267504
125,-284023.780163
126,-39588.372895
127,-9307.420567
128,-45770.041448
129,-18187.728156
130,-845460.573502
131,-74007.613445
132,-406368.031575
133,-22935.466909
134,-103903.36266
135,-14199.69333
136,-140843.518211
137,-48315.214364
138,-84825.41845
139,-1102264.46033
140,-965003.4867
141,-667355.907323
142,-1896677.346257
143,-851036.566389
144,-142620.443993
145,-80588.662298
146,-14297.258726
147,-384725.946001
148,-136592.599143
149,-18405.426009
150,-1329539.890058
151,-1280545.632411
152,-710636.438549
153,-13275.014143
154,-111447.668412
155,-108585.029984
156,-650070.319139
157,-655449.737246
158,-427125.272464
159,-272960.776796
160,-86065.445893
161,-54581.552557
162,-404396.344522
163,-145354.640273
164,-34505.474681
165,-69490.890168
166,-755864.831264
167,-39826.999042
168,-32635.268948
169,-450996.058492
170,-494992.055304
171,-57785.948866
172,-985779.445545
173,-1091249.875568
174,-1190337.769671
175,-274550.581235
176,-51801.194492
177,-20835.150524
178,-316326.362719
179,-98213.984095
180,-19039.3
181,-144778.765881
182,-877952.895015
183,-488415.294686
184,-7613.932935
185,-33610.463892
186,-7761.182489
187,-13679.561239
188,-179849.058216
189,-602269.938231
190,-10439.624317
191,-250635.389777
192,-607482.999618
193,-574709.572709
194,-318821.097077
195,-48253.232136
196,-392591.203479
197,-49673.574429
198,-55121.669679
199,-389114.032888
200,-175844.790662
201,-838397.284698
202,-16049.077098
203,-21386.5
204,-178557.720667
205,-21271.981377
206,-441308.580052
207,-64754.13406
208,-316961.125877
209,-769035.293928
210,-1438686.396359
211,-795616.022677
212,-493611.318727
213,-247117.964689
214,-257758.30699
215,-246195.748886
216,-17506.861604
217,-184657.053236
218,-147559.956443
219,-23441.794396
220,-11005.917154
221,-104907.102028
222,-407723.143987
223,-78709.96824
224,-828920.618852
225,-894950.837126
226,-122777.278378
227,-209895.693317
228,-12941.251244
229,-852297.311018
230,-24704.756334
231,-329768.783394
232,-213892.088996
233,-250019.405742
234,-432902.81066
235,-322482.723461
236,-15440.762676
237,-607632.554334
238,-52096.607671
239,-630823.710327
240,-7807.400176
241,-801394.613733
242,-114431.72957
243,-15370.550208
244,-76294.659789
245,-22745.288646
246,-241693.379294
247,-12639.107879
248,-1127297.678521
249,-63319.882718
250,-40032.934083
251,-518172.651922
252,-25359.287856
253,-107102.935137
254,-9697.153746
255,-153526.264726
256,-40090.630791
257,-64042.215904
258,-182653.235371
259,-1371605.315784
260,-27106.98486
261,-349013.805839
262,-317627.323687
263,-109435.045684
264,-121726.380572
265,-711503.372534
266,-783024.175775
267,-22805.701972
268,-85399.253767
269,-14386.160525
270,-88991.830889
271,-22413.136435
272,-29117.020854
273,-116152.068087
274,-1055192.12315
275,-72043.827227
276,-820102.500211
277,-127955.305482
278,-466799.619761
279,-176954.987431
280,-586089.467115
281,-656584.56709
282,-160618.83894
283,-509429.936157
284,-556675.426766
285,-127799.467048
286,-203729.429263
287,-61921.82757
288,-12270.018747
289,-352696.637215
290,-609656.49375
291,-149269.447017
292,-1082911.631056
293,-860115.754831
294,-145404.141824
295,-1318507.593908
296,-476434.996904
297,-283265.122772
298,-62610.102879
299,-1125634.247236
300,-457045.910715
301,-9348.971455
302,-51544.879391
303,-22349.015763
304,-480089.45334
305,-1037985.091709
306,-877636.883664
307,-22803.126194
308,-428792.121153
309,-72873.266826
310,-321748.705919
311,-8222.640534
312,-1570095.284683
313,-1322004.977773
314,-177755.990143
315,-825938.972242
316,-558944.67657
317,-12374.006514
318,-553650.395897
319,-775326.28261
320,-8705.277578
321,-740595.101177
322,-1076309.249473
323,-300407.501426
324,-112687.542028
325,-246201.50558
326,-173560.988211
327,-54805.186347
328,-1051916.587166
329,-100056.04904
330,-402486.004741
331,-865814.894238
332,-924468.105618
333,-79784.66218
334,-83429.09635
335,-132950.312497
336,-79553.107355
337,-66872.899089
338,-107591.535842
339,-180056.707973
340,-20404.698614
341,-547558.107891
342,-226382.855832
343,-1438873.78059
344,-441986.099635
345,-21280.107296
346,-69753.563851
347,-388299.620451
348,-15535.815288
349,-831553.996059
350,-48447.265339
351,-8838.888645
352,-46425.595792
353,-9198.186199
354,-1431695.479343
355,-48726.273988
356,-342636.942321
357,-1025527.659487
358,-339211.707607
359,-88582.826239
360,-1151283.657387
361,-1623137.396741
362,-41898.602727
363,-16794.472202
364,-767230.639979
365,-16928.552279
366,-473532.956104
367,-849481.466908
368,-93978.46702
369,-10058.881791
370,-869151.376018
371,-13362.323986
372,-463370.831076
373,-341994.246783
374,-104335.187184
375,-567049.303047
376,-1001334.131924
377,-269719.747069
378,-15651.621542
379,-1395275.849263
380,-787696.866767
381,-58531.798383
382,-431070.30237
383,-65797.755961
384,-277813.543337
385,-1315091.822477
386,-901181.598125
387,-391697.763404
388,-843935.829309
389,-21341.686837
390,-15831.846653
391,-1110451.131843
392,-61393.304376
393,-996150.498584
394,-1094252.334621
395,-19048.497673
396,-141401.16736
397,-283680.240525
398,-746300.487209
399,-957662.752027
400,-665666.419662
401,-1048808.348371
402,-15252.506452
