#{"t_start": 1746343925.8934278, "env_id": "None"}
r,l,t
-12849.5,38,1.49305
-13747.4,36,3.493651
-16280.55,29,5.062645
-23776.15,35,7.366047
-20450.65,38,9.848217
-17952.65,40,12.308074
-15888.05,34,13.859569
-22290.75,39,16.185488
-11103.25,33,17.790392
-17974.35,26,19.860058
-17964.45,30,21.916382
-20090.85,33,23.97146
-30730.15,32,26.165006
-7622.45,30,27.73096
-26972.8,41,29.925992
-24954.5,33,32.143062
-50741.0,32,33.62332
-13949.65,26,35.616566
-15315.55,31,37.628385
-8563.6,33,39.380656
-7018.65,26,41.203457
-25105.3,36,42.925063
-26596.15,38,44.981095
-9941.1,34,47.370338
-13007.2,37,49.388673
-9824.65,31,51.46914
-13914.05,32,53.18789
-20710.7,35,55.149697
-12306.6,28,57.014837
-16991.6,34,58.532768
-16933.75,31,60.132591
-14202.5,37,62.152006
-25205.85,28,63.560323
-40599.0,32,65.285182
-20109.35,31,67.163093
-12107.65,28,68.61399
-8347.3,35,70.774472
-24486.9,30,72.340924
-14848.9,28,73.733427
-14112.35,38,75.803827
-27559.4,29,78.181673
-10100.6,35,80.093752
-6345.9,25,82.489084
-14080.0,33,84.132599
-12332.3,36,86.601593
-17269.55,32,88.501255
-8883.8,31,90.220775
-14134.8,32,92.360885
-21855.05,30,93.851345
-11223.65,30,95.416999
-12678.15,31,97.632712
-9258.85,36,99.214062
-14623.3,31,101.25909
-16341.45,28,103.039352
-19324.0,28,105.121425
-8788.9,39,107.3117
-9528.6,29,108.994653
-18945.5,38,111.39277
-22134.75,26,113.265043
-14792.6,28,115.11314
-20731.2,31,117.07021
-19486.95,38,119.365341
-47797.6,40,121.835323
-16725.35,41,123.996753
-43370.35,32,126.177653
-38567.65,34,128.850162
-30959.9,35,130.544517
-11865.8,35,132.969224
-11500.7,35,134.40256
-12748.75,30,136.224592
-26528.6,34,138.39367
-15583.8,28,140.119579
-9426.1,34,141.913954
-15115.2,28,144.149332
-16882.7,36,146.757139
-16494.05,30,148.416635
-26663.25,41,150.276689
-28536.25,28,152.307836
-11328.3,36,154.196056
-21706.4,34,156.351118
-24916.7,30,158.207647
-13310.3,33,159.668748
-15152.35,30,161.767627
-18989.25,28,164.099389
-13602.05,34,166.156434
-18908.95,31,168.171347
-27238.7,30,169.841665
-23229.15,28,171.643394
-10972.5,34,173.876132
-24798.3,27,176.058352
-20240.65,36,177.613451
-18184.45,33,179.779183
-17363.7,43,181.536504
-24889.45,34,183.35956
-34832.55,25,184.948717
-15503.75,33,186.914887
-11050.75,36,188.976406
-10837.75,30,191.111897
-42814.2,40,193.109704
-12015.45,46,194.903614
-15308.2,26,197.024451
-26392.35,31,199.21209
-12386.75,35,201.718643
-27437.4,34,203.501606
-7633.4,26,205.13078
-14916.85,31,206.580647
-19790.7,27,208.847642
-23612.15,31,210.391895
-21556.5,32,212.336005
-15859.1,32,214.093678
-24850.15,39,215.605255
-24841.55,29,217.623554
-14040.85,31,219.420931
-15427.85,35,221.415286
-13794.05,30,223.29137
-17527.4,30,225.185816
-36795.55,30,227.346727
-29068.4,33,229.37035
-14511.0,30,231.457043
-19481.55,27,232.937758
-25144.15,23,234.927034
-10604.5,33,236.479836
-26917.7,32,238.932754
-34098.45,36,240.749159
-7076.1,34,242.502449
-11309.15,31,244.098029
-17017.2,45,246.67439
-23423.85,32,248.373094
-31271.05,34,250.100653
-19489.3,25,251.829121
-27610.5,31,253.826352
-8336.25,30,255.758813
-23592.4,30,257.956318
-25108.25,33,259.437247
-18214.25,34,261.3336
-14884.1,29,263.605989
-19710.0,32,265.713377
-6509.6,38,267.644769
-9249.7,32,269.514344
-19554.5,29,271.468167
-9254.35,27,273.369782
-52953.65,37,275.431474
-10564.4,34,277.496336
-13686.8,38,279.735461
-17273.7,35,281.162055
-30917.4,29,282.591582
-20285.3,38,284.534271
-15856.3,32,286.685572
-17951.15,27,288.338167
-6598.95,30,290.168387
-9308.45,26,291.882756
-13021.0,37,293.994599
-14334.4,29,296.109489
-14080.8,34,298.343416
-42259.05,36,300.262524
-33942.1,37,302.2112
-8462.85,33,304.355175
-35727.55,27,306.270384
-29562.7,38,308.480739
-47437.05,37,310.072662
-38530.2,28,312.131832
-17966.6,28,313.940159
-13788.7,35,316.157377
-32196.9,38,317.650857
-16326.4,31,319.94318
-14744.1,30,322.005761
-16132.25,30,323.548096
-17567.7,38,325.11021
-23126.2,28,327.270114
-19218.7,35,329.177148
-25399.9,33,331.203946
-14287.8,30,332.675805
-27356.5,26,334.765687
-28373.75,33,336.917948
-8930.95,32,338.844094
-22529.25,28,340.915889
-26657.3,27,342.68899
-20947.6,29,344.700515
-18668.3,34,346.627876
-8956.55,30,348.296156
-20609.35,28,350.051346
-20912.75,33,351.99576
-20258.45,33,353.67245
-47297.5,37,355.828699
-20003.55,32,357.848216
-36230.1,36,359.779845
-6429.25,31,362.103518
-8902.8,35,364.211899
-17918.35,38,365.644646
-17998.05,28,367.373584
-17772.2,33,368.967966
-23324.2,33,370.952588
-5908.25,30,372.463909
-42057.6,34,374.160422
-14589.25,34,376.070899
-34657.45,37,377.574442
-11858.7,30,379.92753
